publication_name,publication_country,publication_language,publication_origin,publication_url,artist_name,article_title,article_url,published_year,published_date,notes
Artforum,United States,English,international,https://www.artforum.com,Wifredo Lam,Wifredo Lam,https://www.artforum.com/print/reviews/198705/wifredo-lam-62069,1987,none,"Review by John Yau of an exhibition at Galerie Lelong & Co., Paris. Artforum Vol. 25, No. 9, May 1987."
BOMB Magazine,United States,English,international,https://bombmagazine.org,José Bedia,José Bedia,https://bombmagazine.org/articles/jos%C3%A9-bedia/,2000,none,"Profile by Grady T. Turner, BOMB 70, Winter 2000."
Hyperallergic,United States,English,international,https://hyperallergic.com,Tania Bruguera,Artist Tania Bruguera Temporarily Detained During the Havana Biennial,https://hyperallergic.com/artist-tania-bruguera-temporarily-detained-during-the-havana-biennial/,2015,2015-05-25,By Ari Amaya-Akkermans.
Hyperallergic,United States,English,international,https://hyperallergic.com,Hamlet Lavastida,"After Three Months in Prison, Cuban Artist Forced Into Exile",https://hyperallergic.com/679955/cuban-artist-hamlet-lavastida-forced-into-exile/,2021,2021-09-27,By Valentina Di Liscia.
Rialta,Mexico,Spanish,cuba_diaspora,https://rialta.org,Belkis Ayón,Retrospectiva de Belkis Ayón en el Museo de Arte Latinoamericano de Buenos Aires,https://rialta.org/retrospectiva-de-belkis-ayon-en-el-museo-de-arte-latinoamericano-de-buenos-aires/,2023,2023-02-26,Anuncio de la retrospectiva en el Malba (Buenos Aires).
OnCuba News,United States,Spanish,cuba_diaspora,https://oncubanews.com,Carlos Garaicoa,"""Arquitectura para el arte"", charlas en el estudio de Carlos Garaicoa",https://oncubanews.com/cartelera/cartelera-artes-visuales/arquitectura-para-el-arte-charlas-en-el-estudio-de-carlos-garaicoa/,2023,2023-05-02,none
ARTEINFORMADO,Spain,Spanish,international,https://www.arteinformado.com,Wifredo Lam;Tania Bruguera;Belkis Ayón;José Bedia;Carlos Garaicoa,"Under the Spell of the Palm Tree: The Rice Collection of Cuban Art",https://www.arteinformado.com/agenda/f/under-the-spell-of-the-palm-tree-the-rice-collection-of-cuban-art-235899,2025,2025-02-18,"Listing for the exhibition at Tampa Museum of Art (Feb-Jul 2025), from the Rice Collection of Cuban art; includes works by more than 70 artists."
